name,lat,lon,elevation_m
KVLD,30.78,-83.28,62.0
KVPC,34.12,-84.85,233.0
KVPZ,41.45,-87.01,231.0
KVSF,43.34,-72.52,176.0
KVTA,40.02,-82.46,268.0
KVTN,42.86,-100.55,789.0
KVUO,45.62,-122.66,8.0
KWAL,37.94,-75.46,41.0
KWLD,37.17,-97.04,351.0
KWMC,40.9,-117.81,1315.0
KWST,41.35,-71.8,24.0
KXNA,36.28,-94.31,392.0
KXWA,48.26,-103.75,711.0
KYIP,42.24,-83.53,215.0
KYKM,46.57,-120.54,325.0
KYNG,41.25,-80.67,360.0
KZZV,39.94,-81.89,268.0
